dist_river,dist_lake,dist_ocean,dist_forest,elevation,terrain,risk
999,999,999,999,256.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,672.0,1,0
999,999,999,999,0.0,0,0
999,999,999,999,194.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,584.0,1,0
999,999,999,999,534.0,1,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,833.0,2,1
999,999,999,999,465.0,1,2
999,999,999,999,502.0,1,0
999,999,999,999,183.0,0,0
999,999,999,999,144.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,398.0,1,0
999,999,999,999,0.0,0,0
999,999,999,999,586.0,1,2
999,999,999,999,37.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,101.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,122.0,0,0
999,999,999,999,0.0,0,1
999,999,999,999,0.0,0,2
999,999,999,999,0.0,0,0
999,999,999,999,311.0,1,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,1314.0,2,1
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,2
999,999,999,999,0.0,0,2
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,167.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,475.0,1,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,751.0,1,0
999,999,999,999,0.0,0,2
999,999,999,999,254.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,91.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,438.0,1,0
999,999,999,999,417.0,1,0
999,999,999,999,66.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,589.0,1,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,264.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,550.0,1,0
999,999,999,999,280.0,0,0
999,999,999,999,97.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,1086.0,2,1
999,999,999,999,148.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,452.0,1,0
999,999,999,999,296.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,167.0,0,0
999,999,999,999,666.0,1,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,537.0,1,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,702.0,1,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,648.0,1,1
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,596.0,1,0
999,999,999,999,164.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,155.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,492.0,1,0
999,999,999,999,549.0,1,0
999,999,999,999,0.0,0,0
999,999,999,999,692.0,1,0
999,999,999,999,504.0,1,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,2
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,574.0,1,0
999,999,999,999,992.0,2,0
999,999,999,999,0.0,0,0
999,999,999,999,417.0,1,0
999,999,999,999,0.0,0,2
999,999,999,999,0.0,0,0
999,999,999,999,515.0,1,0
999,999,999,999,500.0,1,0
999,999,999,999,0.0,0,0
999,999,999,999,578.0,1,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,351.0,1,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,66.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,669.0,1,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,35.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,126.0,0,0
999,999,999,999,817.0,2,0
999,999,999,999,0.0,0,0
999,999,999,999,175.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,563.0,1,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,95.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,69.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,1
999,999,999,999,1151.0,2,1
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,588.0,1,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,-1.0,0,0
999,999,999,999,36.0,0,0
999,999,999,999,7.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,621.0,1,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,546.0,1,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,392.0,1,0
999,999,999,999,0.0,0,0
999,999,999,999,721.0,1,1
999,999,999,999,16.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,817.0,2,1
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,178.0,0,0
999,999,999,999,636.0,1,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,2
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,2
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,731.0,1,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,514.0,1,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,423.0,1,0
999,999,999,999,276.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,24.0,0,0
999,999,999,999,269.0,0,0
999,999,999,999,0.0,0,2
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,109.0,0,0
999,999,999,999,907.0,2,1
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,569.0,1,0
999,999,999,999,0.0,0,2
999,999,999,999,609.0,1,0
999,999,999,999,414.0,1,0
999,999,999,999,602.0,1,2
999,999,999,999,427.0,1,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,831.0,2,1
999,999,999,999,29.0,0,0
999,999,999,999,27.0,0,0
999,999,999,999,529.0,1,0
999,999,999,999,0.0,0,0
999,999,999,999,416.0,1,0
999,999,999,999,598.0,1,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,51.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,150.0,0,2
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,196.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,141.0,0,0
999,999,999,999,0.0,0,2
999,999,999,999,0.0,0,0
999,999,999,999,139.0,0,0
999,999,999,999,654.0,1,0
999,999,999,999,551.0,1,0
999,999,999,999,0.0,0,0
999,999,999,999,183.0,0,0
999,999,999,999,749.0,1,0
999,999,999,999,600.0,1,1
999,999,999,999,168.0,0,0
999,999,999,999,94.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,450.0,1,0
999,999,999,999,586.0,1,0
999,999,999,999,0.0,0,0
999,999,999,999,144.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,615.0,1,0
999,999,999,999,228.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,76.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,1
999,999,999,999,354.0,1,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,2
999,999,999,999,380.0,1,0
999,999,999,999,343.0,1,0
999,999,999,999,0.0,0,2
999,999,999,999,0.0,0,0
999,999,999,999,93.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,546.0,1,2
999,999,999,999,548.0,1,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,464.0,1,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,614.0,1,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,518.0,1,0
999,999,999,999,0.0,0,1
999,999,999,999,0.0,0,0
999,999,999,999,696.0,1,0
999,999,999,999,0.0,0,2
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,275.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,3.0,0,0
999,999,999,999,622.0,1,0
999,999,999,999,0.0,0,0
999,999,999,999,635.0,1,1
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,2
999,999,999,999,94.0,0,0
999,999,999,999,674.0,1,0
999,999,999,999,463.0,1,0
999,999,999,999,203.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,442.0,1,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,538.0,1,0
999,999,999,999,403.0,1,2
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,1
999,999,999,999,0.0,0,0
999,999,999,999,387.0,1,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,658.0,1,0
999,999,999,999,67.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,336.0,1,0
999,999,999,999,0.0,0,0
999,999,999,999,287.0,0,0
999,999,999,999,109.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,434.0,1,0
999,999,999,999,0.0,0,0
999,999,999,999,712.0,1,1
999,999,999,999,711.0,1,0
999,999,999,999,428.0,1,0
999,999,999,999,0.0,0,2
999,999,999,999,0.0,0,0
999,999,999,999,526.0,1,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,416.0,1,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,425.0,1,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,463.0,1,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,767.0,1,0
999,999,999,999,88.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,848.0,2,1
999,999,999,999,0.0,0,0
999,999,999,999,511.0,1,0
999,999,999,999,697.0,1,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,3.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,430.0,1,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,521.0,1,0
999,999,999,999,0.0,0,0
999,999,999,999,524.0,1,0
999,999,999,999,0.0,0,0
999,999,999,999,275.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,681.0,1,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,507.0,1,0
999,999,999,999,0.0,0,0
999,999,999,999,628.0,1,0
999,999,999,999,0.0,0,0
999,999,999,999,552.0,1,0
999,999,999,999,563.0,1,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,195.0,0,0
999,999,999,999,343.0,1,0
999,999,999,999,176.0,0,0
999,999,999,999,559.0,1,0
999,999,999,999,15.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,378.0,1,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,103.0,0,0
999,999,999,999,10.0,0,0
999,999,999,999,688.0,1,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,541.0,1,0
999,999,999,999,239.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,465.0,1,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,576.0,1,0
999,999,999,999,164.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,2
999,999,999,999,0.0,0,0
999,999,999,999,551.0,1,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,457.0,1,0
999,999,999,999,901.0,2,1
999,999,999,999,741.0,1,0
999,999,999,999,0.0,0,0
999,999,999,999,671.0,1,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,418.0,1,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,117.0,0,0
999,999,999,999,259.0,0,0
999,999,999,999,34.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,118.0,0,2
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,563.0,1,0
999,999,999,999,574.0,1,0
999,999,999,999,0.0,0,0
999,999,999,999,249.0,0,0
999,999,999,999,708.0,1,0
999,999,999,999,128.0,0,0
999,999,999,999,494.0,1,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,661.0,1,0
999,999,999,999,0.0,0,0
999,999,999,999,145.0,0,0
999,999,999,999,8.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,172.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,160.0,0,0
999,999,999,999,175.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,171.0,0,0
999,999,999,999,718.0,1,0
999,999,999,999,0.0,0,0
999,999,999,999,753.0,1,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,535.0,1,0
999,999,999,999,227.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,650.0,1,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,312.0,1,0
999,999,999,999,101.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,716.0,1,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,407.0,1,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,710.0,1,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,72.0,0,0
999,999,999,999,761.0,1,2
999,999,999,999,63.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,53.0,0,0
999,999,999,999,1265.0,2,1
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,453.0,1,0
999,999,999,999,0.0,0,0
999,999,999,999,450.0,1,2
999,999,999,999,118.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
999,999,999,999,0.0,0,0
